date,iqamaFajr,iqamaDhuhr,iqamaAsr,iqamaMaghrib,iqamaIsha,Jumua1,Jumua2
01/01/2024,6:20 am,1:30 pm,2:09 pm,4:25 pm,7:00 pm,12:00 pm,1:00 pm
01/02/2024,6:20 am,1:30 pm,2:08 pm,4:26 pm,7:00 pm,12:00 pm,1:00 pm
01/03/2024,6:20 am,1:30 pm,2:09 pm,4:27 pm,7:00 pm,12:00 pm,1:00 pm
01/04/2024,6:20 am,1:30 pm,2:10 pm,4:28 pm,7:00 pm,12:00 pm,1:00 pm
01/05/2024,6:20 am,1:30 pm,2:11 pm,4:29 pm,7:00 pm,12:00 pm,1:00 pm
01/06/2024,6:20 am,1:30 pm,2:12 pm,4:30 pm,7:00 pm,12:00 pm,1:00 pm
01/07/2024,6:20 am,1:30 pm,2:13 pm,4:31 pm,7:00 pm,12:00 pm,1:00 pm
01/08/2024,6:20 am,1:30 pm,2:14 pm,4:32 pm,7:00 pm,12:00 pm,1:00 pm
01/09/2024,6:20 am,1:30 pm,2:16 pm,4:33 pm,7:00 pm,12:00 pm,1:00 pm
01/10/2024,6:20 am,1:30 pm,2:17 pm,4:34 pm,7:00 pm,12:00 pm,1:00 pm
01/11/2024,6:20 am,1:30 pm,2:17 pm,4:35 pm,7:00 pm,12:00 pm,1:00 pm
01/12/2024,6:20 am,1:30 pm,2:19 pm,4:37 pm,7:00 pm,12:00 pm,1:00 pm
01/13/2024,6:20 am,1:30 pm,2:20 pm,4:38 pm,7:00 pm,12:00 pm,1:00 pm
01/14/2024,6:15 am,1:30 pm,2:21 pm,4:39 pm,7:00 pm,12:00 pm,1:00 pm
01/15/2024,6:15 am,1:30 pm,2:22 pm,4:40 pm,7:00 pm,12:00 pm,1:00 pm
01/16/2024,6:15 am,1:30 pm,2:23 pm,4:42 pm,7:00 pm,12:00 pm,1:00 pm
01/17/2024,6:15 am,1:30 pm,2:24 pm,4:43 pm,7:00 pm,12:00 pm,1:00 pm
01/18/2024,6:15 am,1:30 pm,2:25 pm,4:44 pm,7:00 pm,12:00 pm,1:00 pm
01/19/2024,6:15 am,1:30 pm,2:26 pm,4:46 pm,7:00 pm,12:00 pm,1:00 pm
01/20/2024,6:15 am,1:30 pm,2:28 pm,4:47 pm,7:00 pm,12:00 pm,1:00 pm
01/21/2024,6:15 am,1:30 pm,2:29 pm,4:48 pm,7:00 pm,12:00 pm,1:00 pm
01/22/2024,6:15 am,1:30 pm,2:30 pm,4:50 pm,7:00 pm,12:00 pm,1:00 pm
01/23/2024,6:15 am,1:30 pm,2:31 pm,4:51 pm,7:00 pm,12:00 pm,1:00 pm
01/24/2024,6:15 am,1:30 pm,2:32 pm,4:52 pm,7:00 pm,12:00 pm,1:00 pm
01/25/2024,6:15 am,1:30 pm,2:34 pm,4:54 pm,7:00 pm,12:00 pm,1:00 pm
01/26/2024,6:15 am,1:30 pm,2:35 pm,4:55 pm,7:00 pm,12:00 pm,1:00 pm
01/27/2024,6:15 am,1:30 pm,2:36 pm,4:57 pm,7:00 pm,12:00 pm,1:00 pm
01/28/2024,6:15 am,1:15 pm,3:30 pm,4:58 pm,7:00 pm,12:00 pm,1:00 pm
01/29/2024,6:15 am,1:15 pm,3:30 pm,5:00 pm,7:00 pm,12:00 pm,1:00 pm
01/30/2024,6:15 am,1:15 pm,3:30 pm,5:01 pm,7:00 pm,12:00 pm,1:00 pm
01/31/2024,6:15 am,1:15 pm,3:30 pm,5:02 pm,7:00 pm,12:00 pm,1:00 pm
02/01/2024,6:15 am,1:15 pm,3:30 pm,5:04 pm,7:00 pm,12:00 pm,1:00 pm
02/02/2024,6:15 am,1:15 pm,3:30 pm,5:05 pm,7:00 pm,12:00 pm,1:00 pm
02/03/2024,6:15 am,1:15 pm,3:30 pm,5:07 pm,7:00 pm,12:00 pm,1:00 pm
02/04/2024,6:00 am,1:15 pm,3:45 pm,5:08 pm,7:00 pm,12:00 pm,1:00 pm
02/05/2024,6:00 am,1:15 pm,4:00 pm,5:10 pm,7:00 pm,12:00 pm,1:00 pm
02/06/2024,6:00 am,1:15 pm,4:00 pm,5:11 pm,7:00 pm,12:00 pm,1:00 pm
02/07/2024,6:00 am,1:15 pm,4:00 pm,5:13 pm,7:00 pm,12:00 pm,1:00 pm
02/08/2024,6:00 am,1:15 pm,4:00 pm,5:14 pm,7:00 pm,12:00 pm,1:00 pm
02/09/2024,6:00 am,1:15 pm,4:00 pm,5:16 pm,7:00 pm,12:00 pm,1:00 pm
02/10/2024,6:00 am,1:15 pm,4:00 pm,5:17 pm,7:00 pm,12:00 pm,1:00 pm
02/11/2024,6:00 am,1:15 pm,4:00 pm,5:18 pm,7:00 pm,12:00 pm,1:00 pm
02/12/2024,6:00 am,1:15 pm,4:00 pm,5:20 pm,7:00 pm,12:00 pm,1:00 pm
02/13/2024,6:00 am,1:15 pm,4:00 pm,5:21 pm,7:00 pm,12:00 pm,1:00 pm
02/14/2024,6:00 am,1:15 pm,4:00 pm,5:23 pm,7:00 pm,12:00 pm,1:00 pm
02/15/2024,6:00 am,1:15 pm,4:00 pm,5:24 pm,7:00 pm,12:00 pm,1:00 pm
02/16/2024,6:00 am,1:15 pm,4:00 pm,5:26 pm,7:00 pm,12:00 pm,1:00 pm
02/17/2024,6:00 am,1:15 pm,4:00 pm,5:27 pm,7:00 pm,12:00 pm,1:00 pm
02/18/2024,5:45 am,1:15 pm,4:00 pm,5:29 pm,7:00 pm,12:00 pm,1:00 pm
